id,cases
31/12/2019,27
01/01/2020,27
02/01/2020,27
03/01/2020,44
04/01/2020,44
05/01/2020,59
06/01/2020,59
07/01/2020,59
08/01/2020,59
09/01/2020,59
10/01/2020,59
11/01/2020,59
12/01/2020,59
13/01/2020,60
14/01/2020,60
15/01/2020,61
16/01/2020,61
17/01/2020,66
18/01/2020,83
19/01/2020,219
20/01/2020,239
21/01/2020,392
22/01/2020,534
23/01/2020,631
24/01/2020,897
25/01/2020,1350
26/01/2020,2023
27/01/2020,2820
28/01/2020,4587
29/01/2020,6067
30/01/2020,7823
31/01/2020,9824
01/02/2020,11946
02/02/2020,14554
03/02/2020,17372
04/02/2020,20615
05/02/2020,24523
06/02/2020,28274
07/02/2020,31492
08/02/2020,34934
09/02/2020,37552
10/02/2020,40544
11/02/2020,43106
12/02/2020,45178
13/02/2020,60329
14/02/2020,64544
15/02/2020,67104
16/02/2020,69266
17/02/2020,71333
18/02/2020,73328
19/02/2020,75192
20/02/2020,75724
21/02/2020,76720
22/02/2020,77805
23/02/2020,78814
24/02/2020,79337
25/02/2020,80130
26/02/2020,80997
27/02/2020,82111
28/02/2020,83381
29/02/2020,85237
01/03/2020,87061
02/03/2020,89149
03/03/2020,91002
04/03/2020,93310
05/03/2020,95645
06/03/2020,98704
07/03/2020,102841
08/03/2020,106811
09/03/2020,110985
10/03/2020,115746
11/03/2020,120832
12/03/2020,128670
13/03/2020,138137
14/03/2020,148544
15/03/2020,160784
16/03/2020,173287
17/03/2020,187495
18/03/2020,204424
19/03/2020,224629
20/03/2020,255706
21/03/2020,287636
22/03/2020,321844
23/03/2020,356236
24/03/2020,400575
25/03/2020,442988
26/03/2020,496656
27/03/2020,557686
28/03/2020,622656
29/03/2020,685566
30/03/2020,742914
31/03/2020,807330
01/04/2020,881932
02/04/2020,959419
03/04/2020,1036848
04/04/2020,1118696
05/04/2020,1203951
06/04/2020,1270316
07/04/2020,1343286
08/04/2020,1420288
09/04/2020,1505289
10/04/2020,1592612
11/04/2020,1682209
12/04/2020,1757582
13/04/2020,1825979
14/04/2020,1890727
15/04/2020,1967245
16/04/2020,2045475
17/04/2020,2129397
18/04/2020,2211155
19/04/2020,2290792
20/04/2020,2361540
21/04/2020,2435203
22/04/2020,2521695
23/04/2020,2588000
24/04/2020,2666479
25/04/2020,2739303
26/04/2020,2839221
27/04/2020,2921067
28/04/2020,2986615
29/04/2020,3058816
30/04/2020,3137497
01/05/2020,3222984
02/05/2020,3311554
03/05/2020,3392447
04/05/2020,3469578
05/05/2020,3546041
06/05/2020,3624563
07/05/2020,3712077
08/05/2020,3804421
09/05/2020,3893577
10/05/2020,3982574
11/05/2020,4057387
12/05/2020,4127009
13/05/2020,4213081
14/05/2020,4299285
15/05/2020,4395844
16/05/2020,4492997
17/05/2020,4586035
18/05/2020,4665749
19/05/2020,4751930
20/05/2020,4847234
21/05/2020,4950463
22/05/2020,5058276
23/05/2020,5164181
24/05/2020,5264177
25/05/2020,5357392
26/05/2020,5446128
27/05/2020,5539764
28/05/2020,5642430
29/05/2020,5760799
30/05/2020,5882844
31/05/2020,6010987
01/06/2020,6117868
02/06/2020,6217787
03/06/2020,6330047
04/06/2020,6456728
05/06/2020,6583695
06/06/2020,6716794
07/06/2020,6842958
08/06/2020,6958168
09/06/2020,7063517
10/06/2020,7188612
11/06/2020,7322921
12/06/2020,7459253
13/06/2020,7603943
14/06/2020,7737571
15/06/2020,7859036
16/06/2020,7977619
17/06/2020,8118821
18/06/2020,8295461
19/06/2020,8433898
20/06/2020,8613001
21/06/2020,8772619
22/06/2020,8901495
23/06/2020,9037824
24/06/2020,9202314
25/06/2020,9377099
26/06/2020,9556124
27/06/2020,9744837
28/06/2020,9926110
29/06/2020,10085898
30/06/2020,10245860
01/07/2020,10437926
02/07/2020,10638859
03/07/2020,10847744
04/07/2020,11053353
05/07/2020,11244053
06/07/2020,11422018
07/07/2020,11597688
08/07/2020,11804635
09/07/2020,12020122
10/07/2020,12245409
11/07/2020,12477066
12/07/2020,12694752
13/07/2020,12890145
14/07/2020,13079349
15/07/2020,13302905
16/07/2020,13534808
17/07/2020,13789304
18/07/2020,14043851
19/07/2020,14273825
20/07/2020,14483157
21/07/2020,14684558
22/07/2020,14924236
23/07/2020,15205910
24/07/2020,15482244
25/07/2020,15766140
26/07/2020,16025627
27/07/2020,16257435
28/07/2020,16469682
29/07/2020,16713303
30/07/2020,17011397
31/07/2020,17301839
01/08/2020,17580732
02/08/2020,17848055
03/08/2020,18071760
04/08/2020,18276849
05/08/2020,18532359
06/08/2020,18809707
07/08/2020,19095920
08/08/2020,19371810
09/08/2020,19640060
10/08/2020,19869336
11/08/2020,20089811
12/08/2020,20350873
13/08/2020,20639888
14/08/2020,20926793
15/08/2020,21216036
16/08/2020,21475439
17/08/2020,21707584
18/08/2020,21904654
19/08/2020,22159562
20/08/2020,22440556
21/08/2020,22716727
22/08/2020,22970240
23/08/2020,23236330
24/08/2020,23441581
